Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,13249,28600000,34,34,55,9000,,12,1216,,5,550,2483,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palästinensische Gebiete,3971,1282054,1217,11,37,2865,-577,2,164,-191,40,0,942,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,792,597698,50,2,6,532,32,1,185,150,2,75,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,6241,2087981,k.A.,19,183,5000,0,2,156,85,2,181,904,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,18753,8728900,k.A.,23,185,11253,2003,7,1900,1765,15,800,4800,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippinen,9589,23810504,243,11,31,987,-79,5,1345,895,32,6500,757,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polen,1953014,5598562,34749,11779,20000,1840244,-298826,397,56381,-40174,742,52000,4389,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,19158,1493871,13749,160,250,10342,5875,20,4885,2853,60,1200,2731,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruanda,490,280,1,1,5,280,,0,0,,0,0,210,k.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumänien,205207,2873051,18807,1058,1758,194124,20956,k.A.,6483,,k.A.,k.A.,4600,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russische Föderation,1796511,16137286,40498,16099,12180,1372711,243693,600,360000,-40000,456,55000,8800,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambia,k.A.,4139390,k.A.,k.A.,k.A.,k.A.,,0,k.A.,,k.A.,k.A.,k.A.,k.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,2340,6187776,31000,4,25,500,,3,200,97,4,140,1500,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweden,103921,2490449,6141,5160,3081,98577,7209,11,2190,256,7,3054,100,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
